cnpj_raiz;razao_social_ibama;uf;ultimo_rapp;escopo;detalhe_declarado
09214213;"SOLANGE GIOLO MACHADO - ME";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
42934929;"SOLUTION-VET DO BRASIL LTDA";SAO PAULO;2023;fora;"Fabricação de perfumarias e cosméticos"
09542984;"SOROCAPS FARMACEUTICA LTDA";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
12226852;"SOUVIE COMÉRCIO, INDÚSTRIA, IMPORTAÇÃO, EXPORTAÇÃO DE PRODUTOS ORGÂNICOS LTDA.";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
04056093;"STEM PHARMACEUTICAL SUPLEMENTOS ALIMENTARES";RIO GRANDE DO SUL;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
37088088;"STOA INDUSTRIA COSMETICA LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
26874644;"SUAVE FRAGRANCE IND. E COMERCIO DE COSMETICOS LTDA.";GOIAS;2025;fora;"Fabricação de perfumarias e cosméticos"
32998509;"SUL BR INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO DE COSMETICOS LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
43312503;"SUPERA FARMA LABORATÓRIOS S/A";SAO PAULO;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
07722471;"SUPORT COMERCIO E INDUSTRIA DE COSMETICOS LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
09572573;"SWAB CB BRASIL INDUSTRIA DE PRODUTOS LABORATORIAIS LTDA";SAO PAULO;2023;fora;"Fabricação de produtos farmacêuticos e veterinários"
05562870;"SWEET SOAP ATELIER DE ARTIGOS DECORATIVOS LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
06222419;"SWISSBRAS CHEMICAL-INDUSTRIA E COMERCIO DE PRODUTOS VETERINARIOS LTDA-EPP";SAO PAULO;2022;fora;"Fabricação de produtos farmacêuticos e veterinários"
02177011;"SYNTEC DO BRASIL LTDA";SAO PAULO;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
05611848;"SYNTONICS DO BRASIL LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
62957309;"T L INDUSTRIA E COMERCIO DE COSMETICOS LTDAT L INDUSTRIA E COMERCIO DE COSMETICOS LTDA";CEARA;2025;fora;"Fabricação de perfumarias e cosméticos"
03938393;"TAHHARA IMPORTAÇÃO E EXPORTAÇÃO LTDA - EPP";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
04660567;"TBC PERFUMES E COSMETICOS LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
07239476;"TCI INDÚSTRIA COSMÉTICA LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
20858253;"TDA INDÚSTRIA DE COSMÉTICOS LTDA EPP";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
05589960;"TECH-SCIENCE COSMETICOS INDUSTRIA E COMERCIO LTDA";SAO PAULO;2023;fora;"Fabricação de perfumarias e cosméticos"
02930035;"TECNOPHARMA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA";SAO PAULO;2023;fora;"Fabricação de produtos farmacêuticos e veterinários"
26024381;"TECSO INDUSTRIA E COMERCIO DE COSMETICOS LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
